Open,High,Low,Close,Volume,RSI,ATR,VolumeChange,SMA_20,EMA_50,target_vol,target_dir
-1.5306552295565088,-1.5289105542268344,-1.5247201048119536,-1.527253848884785,2.566058258960048,2.6688068608752618,-1.3175463732223218,-0.080722416878103,-1.560161272303439,-1.5697028816388543,0.022417604938805513,1
-1.5261778212847452,-1.5179314577494785,-1.523851611990617,-1.5163664232653769,8.462870953118998,2.8254277464638986,-1.2802160948207346,0.24170275525761356,-1.5564519903278593,-1.5670752542545865,0.02506719142055314,1
-1.515412506436702,-1.4986676324593848,-1.5097114934103977,-1.4948409584475117,7.978121741215176,3.0257681761511868,-1.2271288548124348,-0.2274355977275576,-1.5519853736298255,-1.563708305630912,0.022819159120671912,1
-1.494075630702329,-1.4591378761976044,-1.4890803643848247,-1.4657556683850583,14.12724559199568,3.1779461507343973,-1.1114908849730027,-0.04839146952051999,-1.5461933095602751,-1.5593351868024135,0.008588238075425976,0
-1.4649569957708843,-1.4664347653065009,-1.4778317895217359,-1.4695475553873598,9.159886841816506,2.9086912510935514,-1.0676057421259384,-0.2924420744200304,-1.5406409299724646,-1.5552819524061956,0.008057933699721131,1
-1.4687024800983155,-1.461259385600078,-1.4668229431328583,-1.468548093802753,9.188592499563875,2.9157189870817084,-1.046445047596436,-0.21434135034274412,-1.5352275332641412,-1.5513485560101452,0.00943599867552037,1
-1.4677790365872145,-1.4647396501279253,-1.46430531147886,-1.462153136245272,3.765498022134676,2.9603225696315922,-1.0473877320930973,-0.34332325505568045,-1.5292137534756338,-1.5473191537757849,0.008041021410993715,0
-1.4614043078073335,-1.4669521447662792,-1.4671453698860926,-1.4687891779868993,4.232826547867271,2.4725610501569992,-1.0462402524508037,-0.18938480360482057,-1.523609221427252,-1.543707458445751,0.008708386992183584,1
-1.4677882933662751,-1.4738048864345201,-1.4669777208457382,-1.4694626171185083,1.7474774885263031,2.423450094427347,-1.0694191196958682,-0.33745461181473735,-1.5180733597083353,-1.5402637522154432,0.014769265335408788,1
-1.4686297026629438,-1.4656634514427502,-1.4643802869613987,-1.4631219434170597,1.4562721002466932,2.5065132744988055,-1.0716570231765314,-0.2463945698998523,-1.5123378007810244,-1.5367069609248472,0.01565890751965628,1
-1.4625205476823144,-1.4683020232832744,-1.4637939979949384,-1.464842422336504,0.9775209476407462,2.3737140618403596,-1.0848458536704337,-0.27493071529453517,-1.5068725864337962,-1.5333569799013858,0.015326838311333002,1
-1.4637555296886917,-1.4529404184407368,-1.4607647310738319,-1.4544071493061703,3.3176163590839822,2.516300652682082,-1.054333929342363,0.18369057439867334,-1.500832531116392,-1.5297300025688956,0.013209987739167683,0
-1.4540145253235806,-1.4589968015287311,-1.4634245908964225,-1.4664517790094809,2.8209324865963987,1.6891698986576433,-1.037871177215971,-0.24560140212444614,-1.495435126128629,-1.5267166074156278,0.006420578048698233,1
-1.4658434121657433,-1.4620440143763962,-1.4652996215262597,-1.45735603995596,2.3130770349871477,1.8679624005479445,-1.0267296579800111,-0.25119218823500605,-1.4895047009912583,-1.5234654370777498,0.0028033476309959515,1
-1.45647746695222,-1.4528757460082649,-1.4517673513860203,-1.4545428589462528,2.8218194704833426,1.920172328689537,-1.0307682837306746,-0.17187076900138643,-1.4843273057263404,-1.5202316741702369,0.0030597968960885615,0
-1.4539104663589697,-1.4576732358151436,-1.4581486337646545,-1.4556892062589484,1.7081923147766556,1.8430720566808123,-1.0293731989954735,-0.2943132800191617,-1.4794343016076206,-1.5171695860062882,0.005167973732356625,1
-1.4549603127841377,-1.459161335805462,-1.4514606920089421,-1.4534562238751931,1.0198419141126187,1.889880712019222,-1.0559812016201615,-0.29059756872852094,-1.4746142886122564,-1.5141401954526548,0.005947272576195096,0
-1.4526043029136104,-1.4486213144211166,-1.4520585651701294,-1.45361588227529,3.3107549807909327,1.8778545764160086,-1.0422417291514712,0.1632201068274237,-1.4708223535166514,-1.5112358525107341,0.009516929487998973,0
-1.4525529118298608,-1.4540858179432978,-1.449259695010815,-1.4563220921569326,1.676590256717321,1.6668455499625219,-1.0578875912191656,-0.31582038893396075,-1.4671816940388702,-1.5085513086680415,0.009962996692987199,0
-1.4557902309068,-1.455222657859208,-1.4500802421373098,-1.4508308011439996,0.6865510778459628,1.8078684733953996,-1.0735505161801164,-0.32541842140790317,-1.4631566114559715,-1.5057571479561196,0.009260031860162114,0
-1.450090289400499,-1.4569872007961728,-1.44801889904228,-1.4541753253092295,0.25858856708864075,1.544197274743115,-1.101206363633334,-0.30847926214407856,-1.4595077089876327,-1.5032034449043303,0.009337074975995643,0
-1.4532315294947762,-1.4465866689720617,-1.4722839255970706,-1.4644107060226421,3.5305880200741195,0.8257609992713952,-1.0083700106225666,1.004912421789771,-1.4569134947696165,-1.501150432710466,0.007671909135811811,0
-1.46368115625693,-1.4652659061960824,-1.4650518484723767,-1.4709863968890329,1.7563103199045385,0.431068684898434,-1.0113095103568561,-0.31825737117390973,-1.4557224065498073,-1.4994352601918888,0.00605450986078871,1
-1.470200482309721,-1.4711910422887648,-1.4643046679124863,-1.466644646356798,0.43404742902196086,0.6080254474215683,-1.0370513328452242,-0.35687374871827876,-1.4557667943364878,-1.4976174417138919,0.007280149690751322,1
-1.4657709539296495,-1.4716434322943432,-1.4627745888589638,-1.4689360637149889,0.14690877513927494,0.4689844705625243,-1.0677249638340127,-0.29801261482220287,-1.4557362617892562,-1.4959605812749688,0.006781605789925501,1
